Epoch,Batch,Batch Loss,Batch Time
1,1,925.9004516601562,2.105469226837158
1,2,1544.391845703125,1.9634997844696045
1,3,3111.447998046875,1.957944631576538
1,4,815.178955078125,1.9608397483825684
1,5,255.8880615234375,1.9587604999542236
1,6,503.59014892578125,1.96128249168396
1,7,321.4181213378906,1.9591705799102783
1,8,30.025936126708984,1.9607150554656982
1,9,244.163818359375,1.959111213684082
1,10,511.86627197265625,1.9619407653808594
1,11,327.9568176269531,1.9595308303833008
1,12,506.4870910644531,1.9605388641357422
1,13,325.8779602050781,1.9620797634124756
1,14,614.46435546875,1.9617068767547607
1,15,231.74111938476562,1.957381248474121
1,16,366.24505615234375,1.9595162868499756
1,17,72.55583190917969,1.9598956108093262
1,18,141.61122131347656,1.9623112678527832
1,19,461.6795349121094,1.9605774879455566
1,20,154.41465759277344,1.9636285305023193
1,21,688.3446044921875,1.9603683948516846
1,22,1101.2550048828125,1.9614956378936768
1,23,420.3980712890625,1.960101842880249
1,24,1563.2105712890625,1.961613416671753
1,25,56.63674545288086,1.9593970775604248
1,26,14.638982772827148,1.9626679420471191
1,27,327.7306213378906,1.9570794105529785
1,28,150.35256958007812,1.962907075881958
1,29,129.65345764160156,1.9598593711853027
1,30,1953.4022216796875,1.9625165462493896
1,31,14.995827674865723,1.9622819423675537
1,32,323.9491271972656,1.9638426303863525
1,33,261.678955078125,1.960278034210205
1,34,193.5344696044922,1.963883638381958
1,35,118.4036636352539,1.9612083435058594
1,36,247.14593505859375,1.9642820358276367
1,37,204.36978149414062,1.9589085578918457
1,38,449.4879455566406,1.964475393295288
1,39,64.13251495361328,1.9603893756866455
1,40,190.38133239746094,1.9648985862731934
1,41,899.3986206054688,1.9599225521087646
1,42,185.1788787841797,1.9626028537750244
1,43,132.4771270751953,1.9605364799499512
1,44,48.63619613647461,1.9603359699249268
1,45,57.859886169433594,1.9594762325286865
1,46,105.42189025878906,1.9625675678253174
1,47,1009.005615234375,1.9588403701782227
1,48,568.1666870117188,1.9624261856079102
1,49,142.82086181640625,1.9595544338226318
1,50,126.7253189086914,1.965080976486206
1,51,55.34607696533203,1.959712266921997
1,52,257.6058044433594,1.9653823375701904
1,53,178.18992614746094,1.957326889038086
1,54,273.0318603515625,1.962960958480835
1,55,264.3370666503906,1.9603466987609863
1,56,570.1709594726562,1.9619557857513428
1,57,91.65362548828125,1.9592921733856201
1,58,243.59771728515625,1.960258960723877
1,59,242.6251983642578,1.9586217403411865
1,60,94.26773834228516,1.9583075046539307
1,61,380.0870361328125,1.9598674774169922
1,62,107.25106811523438,1.9598956108093262
1,63,145.21517944335938,1.9568054676055908
1,64,131.90133666992188,1.957909107208252
1,65,121.1511459350586,1.959205150604248
1,66,89.08256530761719,1.9634718894958496
